INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
INFO:root:Ход в игре-2022-11-19 02:46:23.416429-818719233-Вероника-[1, '❌', 3, '❌', '⭕', '❌', 7, '⭕', 9, 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:46:24.488170-818719233-Вероника-[1, '❌', 3, '❌', '⭕', '❌', '⭕', '⭕', 9, 9, 6, '❌']
INFO:root:Ход в игре-2022-11-19 02:46:25.292155-818719233-Вероника-['❌', '❌', 3, '❌', '⭕', '❌', '⭕', '⭕', 9, 9, 7, '⭕']
INFO:root:Конец игры-2022-11-19 02:46:28.030389-818719233-Вероника-['❌', '❌', 3, '❌', '⭕', '❌', '⭕', '⭕', '⭕', '⭕', 8, '⭕']
INFO:root:Ход в игре-2022-11-19 02:46:28.944284-818719233-Вероника-[1, 2, '❌', 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Начало игры-2022-11-19 02:53:43.655495-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Ход в игре-2022-11-19 02:53:53.473069-536297652-Andrey-[1, 2, 3, '❌', 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:53:54.142727-536297652-Andrey-[1, 2, 3, '❌', '⭕', 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:53:54.459537-536297652-Andrey-[1, 2, 3, '❌', '⭕', 6, 7, '❌', 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:53:55.022460-536297652-Andrey-[1, 2, 3, '❌', '⭕', 6, 7, '❌', '⭕', 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:53:55.315608-536297652-Andrey-[1, 2, 3, '❌', '⭕', '❌', 7, '❌', '⭕', 9, 5, '⭕']
INFO:root:Конец игры-2022-11-19 02:54:01.095514-536297652-Andrey-['⭕', 2, 3, '❌', '⭕', '❌', 7, '❌', '⭕', '⭕', 6, '⭕']
ERROR:aiogram.dispatcher.dispatcher:Cause exception while getting updates.
Traceback (most recent call last):
  File "/usr/local/lib/python3.9/site-packages/aiogram/dispatcher/dispatcher.py", line 381, in start_polling
    updates = await self.bot.get_updates(
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/bot.py", line 110, in get_updates
    result = await self.request(api.Methods.GET_UPDATES, payload)
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/base.py", line 236, in request
    return await api.make_request(await self.get_session(), self.server, self.__token, method, data, files,
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/api.py", line 139, in make_request
    async with session.post(url, data=req, **kwargs) as response:
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client.py", line 1141, in __aenter__
    self._resp = await self._coro
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client.py", line 560, in _request
    await resp.start(conn)
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client_reqrep.py", line 914, in start
    self._continue = None
  File "/usr/local/lib/python3.9/site-packages/aiohttp/helpers.py", line 720, in __exit__
    raise asyncio.TimeoutError from None
asyncio.exceptions.TimeoutError
ERROR:aiogram.dispatcher.dispatcher:Cause exception while getting updates.
Traceback (most recent call last):
  File "/usr/local/lib/python3.9/site-packages/aiogram/dispatcher/dispatcher.py", line 381, in start_polling
    updates = await self.bot.get_updates(
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/bot.py", line 110, in get_updates
    result = await self.request(api.Methods.GET_UPDATES, payload)
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/base.py", line 236, in request
    return await api.make_request(await self.get_session(), self.server, self.__token, method, data, files,
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/api.py", line 139, in make_request
    async with session.post(url, data=req, **kwargs) as response:
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client.py", line 1141, in __aenter__
    self._resp = await self._coro
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client.py", line 560, in _request
    await resp.start(conn)
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client_reqrep.py", line 914, in start
    self._continue = None
  File "/usr/local/lib/python3.9/site-packages/aiohttp/helpers.py", line 720, in __exit__
    raise asyncio.TimeoutError from None
asyncio.exceptions.TimeoutError
ERROR:aiogram.dispatcher.dispatcher:Cause exception while getting updates.
Traceback (most recent call last):
  File "/usr/local/lib/python3.9/site-packages/aiogram/dispatcher/dispatcher.py", line 381, in start_polling
    updates = await self.bot.get_updates(
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/bot.py", line 110, in get_updates
    result = await self.request(api.Methods.GET_UPDATES, payload)
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/base.py", line 236, in request
    return await api.make_request(await self.get_session(), self.server, self.__token, method, data, files,
  File "/usr/local/lib/python3.9/site-packages/aiogram/bot/api.py", line 139, in make_request
    async with session.post(url, data=req, **kwargs) as response:
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client.py", line 1141, in __aenter__
    self._resp = await self._coro
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client.py", line 560, in _request
    await resp.start(conn)
  File "/usr/local/lib/python3.9/site-packages/aiohttp/client_reqrep.py", line 914, in start
    self._continue = None
  File "/usr/local/lib/python3.9/site-packages/aiohttp/helpers.py", line 720, in __exit__
    raise asyncio.TimeoutError from None
asyncio.exceptions.TimeoutError
INFO:root:Начало игры-2022-11-19 06:04:40.501179-884857325-Дарья-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Ход в игре-2022-11-19 06:04:44.687693-884857325-Дарья-[1, 2, '❌', 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 06:04:47.721695-884857325-Дарья-[1, 2, '❌', 4, '⭕', 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 06:04:49.666250-884857325-Дарья-['❌', 2, '❌', 4, '⭕', 6, 7, 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 06:04:52.021901-884857325-Дарья-['❌', 2, '❌', '⭕', '⭕', 6, 7, 8, 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 06:04:53.639508-884857325-Дарья-['❌', 2, '❌', '⭕', '⭕', 6, 7, 8, '❌', 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 06:04:55.207110-884857325-Дарья-['❌', '⭕', '❌', '⭕', '⭕', 6, 7, 8, '❌', 9, 6, '❌']
INFO:root:Конец игры-2022-11-19 06:04:57.278414-884857325-Дарья-['❌', '⭕', '❌', '⭕', '⭕', '❌', 7, 8, '❌', '❌', 7, '❌']
INFO:root:Ход в игре-2022-11-19 06:05:00.626452-884857325-Дарья-[1, 2, 3, 4, 5, 6, 7, '❌', 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 06:05:02.681956-884857325-Дарья-[1, '⭕', 3, 4, 5, 6, 7, '❌', 9, 9, 2, '❌']
